City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sim,54.993,57.6982,6.79,96,15,0.93,RU,1717113042
83,tinghir,31.5157,-5.5343,24.91,23,100,3.86,MA,1717113043
84,pacasmayo,-7.4006,-79.5714,18.85,79,9,5.33,PE,1717112976
85,manokwari,-0.8667,134.0833,27.3,79,99,1.13,ID,1717113043
86,broken hill,-31.95,141.4333,12.34,57,0,4.66,AU,1717113043
87,port lincoln,-34.7333,135.8667,14.71,66,14,6.48,AU,1717113043
88,peterhead,57.5058,-1.7981,10.25,92,32,8.25,GB,1717113043
89,cumana,10.4635,-64.1775,27.43,85,83,3.8,VE,1717113043
90,nasrullahganj,22.6833,77.2667,33.02,35,9,5.14,IN,1717113043
91,beyneu,45.3167,55.2,20.85,31,0,5.71,KZ,1717113044
92,san luis de la loma,17.2706,-100.8939,30.14,63,3,4.84,MX,1717113044
93,amga,60.8953,131.9608,23.79,34,33,2.71,RU,1717113044
94,witbank,-25.8713,29.2332,8.94,54,0,1.62,ZA,1717113044
95,tura,25.5198,90.2201,24.68,99,99,1.61,IN,1717112857
96,mata-utu,-13.2816,-176.1745,28.03,80,70,9.98,WF,1717113044
97,ushuaia,-54.8,-68.3,0.81,69,0,5.14,AR,1717112582
98,barra de santo antonio,-9.4047,-35.5072,23.6,77,1,3.43,BR,1717113044
99,yaren,-0.5472,166.916,28.9,68,99,5.26,NR,1717113045
100,college,64.8569,-147.8028,16.92,51,75,2.57,US,1717112850
101,okara,30.8081,73.4458,31.6,10,0,2.77,PK,1717113045
102,morehead,37.2711,-87.1764,24.86,41,0,0.0,US,1717112753
103,margate,51.3813,1.3862,12.72,86,93,4.47,GB,1717113022
104,el calafate,-50.3408,-72.2768,0.51,71,94,0.84,AR,1717112855
105,ribeira grande,38.5167,-28.7,18.76,79,22,5.81,PT,1717112861
106,tazovsky,67.4667,78.7,-4.7,97,94,2.62,RU,1717113045
107,pasuquin,18.3328,120.6177,27.97,89,75,1.03,PH,1717113046
108,punta arenas,-53.15,-70.9167,1.06,93,0,2.06,CL,1717113046
109,bizerte,37.2744,9.8739,17.0,59,20,2.06,TN,1717113046
110,olonkinbyen,70.9221,-8.7187,0.58,97,100,7.08,SJ,1717112848
111,nelson bay,-32.7167,152.15,17.83,83,100,0.45,AU,1717113046
112,cobija,-11.0267,-68.7692,24.1,73,2,1.54,BO,1717113046
113,luderitz,-26.6481,15.1594,13.47,90,13,4.47,NA,1717113047
114,kani keli,-12.9536,45.1033,26.59,75,7,9.1,YT,1717113047
115,bam,29.106,58.357,29.12,14,2,2.26,IR,1717113047
116,antofagasta,-23.65,-70.4,14.6,79,48,1.53,CL,1717112967
117,ravar,31.2656,56.8055,25.83,17,0,1.87,IR,1717113047
118,ciudad lazaro cardenas,17.9583,-102.2,29.53,62,37,5.48,MX,1717113047
119,st. john's,47.5649,-52.7093,19.66,59,75,6.17,CA,1717112925
120,iskateley,67.6803,53.1512,-2.21,87,98,5.81,RU,1717112855
121,novoazovs'k,47.1139,38.086,17.44,86,87,1.03,UA,1717113048
122,bredasdorp,-34.5322,20.0403,10.16,83,53,1.45,ZA,1717112846
123,kombissiri,12.0656,-1.3375,29.99,42,90,4.3,BF,1717113048
124,bonthe,7.5264,-12.505,27.25,86,93,3.53,SL,1717113048
125,whitehorse,60.7161,-135.0538,17.12,26,40,4.12,CA,1717112730
126,tolanaro,-25.0319,46.9987,21.04,83,20,4.12,MG,1717113048
127,dien bien phu,21.3833,103.0167,25.08,95,100,0.44,VN,1717113049
128,okhotsk,59.3833,143.3,10.79,51,56,3.23,RU,1717113049
129,bilibino,68.0546,166.4372,3.74,55,74,5.17,RU,1717112860
130,stanley,54.868,-1.6985,9.88,86,0,4.63,GB,1717112851
131,lerwick,60.1545,-1.1494,10.0,82,100,5.06,GB,1717112851
132,hermanus,-34.4187,19.2345,9.33,70,20,1.97,ZA,1717112853
133,whakatane,-37.9585,176.9854,17.71,76,13,2.24,NZ,1717112888
134,hamilton,39.1834,-84.5333,23.47,46,20,2.06,US,1717112687
135,aljezur,37.3191,-8.8033,15.76,94,17,3.88,PT,1717112855
136,sisimiut,66.9395,-53.6735,-1.57,79,22,1.33,GL,1717113050
137,carletonville,-26.3609,27.3977,9.87,55,0,2.93,ZA,1717113050
138,tubarjal,30.4999,38.216,20.56,49,0,6.85,SA,1717113050
139,acapulco de juarez,16.8634,-99.8901,30.9,66,0,5.14,MX,1717112862
140,concepcion,-36.827,-73.0498,11.89,87,100,1.03,CL,1717113050
141,carnarvon,-24.8667,113.6333,16.03,44,0,5.8,AU,1717113051
142,chateau-du-loir,47.6949,0.4185,11.99,97,8,3.33,FR,1717113051
143,remire-montjoly,4.9167,-52.2667,26.02,94,100,2.06,GF,1717112847
144,vila franca do campo,37.7167,-25.4333,19.23,99,53,2.34,PT,1717113051
145,thompson,55.7435,-97.8558,21.09,52,75,4.12,CA,1717112641
146,san andres,12.5847,-81.7006,28.01,89,40,3.6,CO,1717113051
147,taksimo,56.3444,114.8794,19.05,52,48,1.1,RU,1717113051
148,kavaratti,10.5669,72.642,27.97,78,91,3.29,IN,1717113052
149,usogorsk,63.4106,48.6872,8.15,47,80,0.49,RU,1717113052
150,saint-leu,-21.15,55.2833,22.48,77,13,4.21,RE,1717113052
151,al mindak,20.1588,41.2834,24.78,12,80,4.67,SA,1717113052
152,tebingtinggi,3.3285,99.1625,24.55,98,100,0.86,ID,1717113053
153,afaahiti,-17.75,-149.2833,27.93,78,5,6.59,PF,1717113053
154,kiomboi,-4.2667,34.3667,19.75,58,100,2.12,TZ,1717113053
155,utrik,11.2278,169.8474,28.03,78,100,4.86,MH,1717113053
156,badger,64.8,-147.5333,16.87,51,75,2.57,US,1717113053
157,okulovka,58.4008,33.2908,16.42,96,61,1.99,RU,1717113053
158,yanam,16.7333,82.2167,28.75,94,15,0.98,IN,1717113053
159,invercargill,-46.4,168.35,15.01,70,100,1.79,NZ,1717112850
160,iaciara,-14.0958,-46.6317,24.52,42,70,1.53,BR,1717113054
161,vilyuchinsk,52.9306,158.4028,8.15,71,99,3.46,RU,1717112856
162,chibougamau,49.9168,-74.3659,16.79,34,20,4.12,CA,1717113054
163,karor,31.2274,70.9492,31.24,9,0,1.21,PK,1717113054
164,mokrous,51.2333,47.5167,19.35,49,51,3.47,RU,1717113054
165,enewetak,11.3474,162.3373,27.6,76,94,6.06,MH,1717112851
166,brookings,44.3114,-96.7984,24.0,57,75,7.72,US,1717113048
167,turkmenbasy,40.0222,52.9552,24.43,12,0,4.12,TM,1717113055
168,kuanda,56.3161,116.0806,18.07,55,78,1.74,RU,1717113055
169,sanctuary point,-35.1114,150.629,19.62,74,100,2.64,AU,1717113055
170,ilulissat,69.2167,-51.1,0.01,69,40,2.57,GL,1717112859
171,manawar,22.2333,75.0833,29.32,63,7,6.98,IN,1717113055
172,soio,-6.1349,12.3689,24.59,86,78,3.31,AO,1717113055
173,puerto lempira,15.2667,-83.7667,27.08,78,75,0.0,HN,1717113055
174,touros,-5.1989,-35.4608,24.54,91,96,3.75,BR,1717112862
175,coromandel,-18.4733,-47.2003,16.42,55,10,2.42,BR,1717113056
176,khandyga,62.6667,135.6,23.77,32,92,1.33,RU,1717113056
177,island harbour,50.724,-1.2758,14.43,73,76,2.24,GB,1717113056
178,kavarna,43.4333,28.3333,16.99,95,37,2.81,BG,1717113056
179,acarau,-2.8856,-40.12,25.06,90,92,4.28,BR,1717113056
180,newport,51.5877,-2.9984,13.23,84,5,3.08,GB,1717112887
181,tananger,58.9333,5.6,13.49,81,63,1.03,NO,1717113057
182,bulgan,48.8125,103.5347,11.69,52,0,1.39,MN,1717113057
183,puerto aysen,-45.4,-72.7,4.82,99,100,0.59,CL,1717113057
184,kailua-kona,19.6406,-155.9956,27.98,85,75,4.63,US,1717112855
185,punto fijo,11.6956,-70.1996,27.69,82,88,12.92,VE,1717113057
186,zabaykal'sk,49.6333,117.3167,16.3,34,23,4.35,RU,1717113057
187,hanting,36.7708,119.2108,25.12,40,5,6.07,CN,1717113057
188,colonia,50.9333,6.95,14.13,80,75,6.17,DE,1717112707
189,newman,37.3138,-121.0208,33.13,10,11,4.9,US,1717112902
190,arteche,12.2645,125.4048,29.27,81,99,4.23,PH,1717112859
191,mawu,29.5923,107.3139,18.17,81,42,0.69,CN,1717113058
192,santa cruz cabralia,-16.2781,-39.0247,23.13,83,40,1.54,BR,1717113058
193,slave lake,55.2834,-114.769,10.99,71,100,14.4,CA,1717112899
194,mingshui,36.7167,117.5,25.58,34,58,5.68,CN,1717113058
195,dhenkanal,20.6667,85.6,28.69,88,73,4.78,IN,1717113058
196,glace bay,46.1969,-59.957,10.99,85,63,0.45,CA,1717113058
197,lastoursville,-0.8143,12.7287,23.32,98,100,0.63,GA,1717113059
198,saint george's,12.0564,-61.7485,28.82,79,20,6.17,GD,1717113059
199,jose maria morelos,23.3952,-103.8984,30.75,11,12,8.43,MX,1717113059
200,mount isa,-20.7333,139.5,18.87,88,100,3.6,AU,1717113059
